STT,CPU,RAM,Ổ cứng,Đồ họa,Màn hình,Trọng lượng (kg),Hệ điều hành,Name,Price
101,AMD Ryzen 5-4600H,"8 GB, DDR4, 3200 MHz",SSD 512 GB,AMD Radeon RX 5300M 3 GB & AMD Radeon Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, LED-backlit",1.96,Windows 10,MSI Bravo 15 A4DCR-070VN/R5 4600H,19.490.000 ₫
102,AMD Ryzen 7-3750H,"8 GB, DDR4, 2400 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & AMD Radeon Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, Anti-glare LED-backlit",2.2,Windows 10,Asus TUF Gaming FX505DT-HN478T/R7-3750H,19.090.000 ₫
103,AMD Ryzen 7-4700U,"8 GB, DDR4, 3200 MHz",SSD 1 TB,AMD Radeon Graphics,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, Anti-glare LED-backlit",1.45,Windows 10,Asus VivoBook M413IA-EK481T/R7-4700U,19.090.000 ₫
104,Intel Core i5-1135G7,"8 GB, DDR4, 3200 MHz",SSD 512 GB,Intel Iris Xe Graphics,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits, Anti-glare LED-backlit",1.4,Windows 10,Asus Vivobook S433EA-EB099T/i5-1135G7,18.990.000 ₫
105,Intel Core i5-5th-gen,"8 GB, LPDDR3, 1600 MHz",SSD 128 GB,Intel HD Graphics 6000,"13.3"", 1440 x 900 Pixel, LED-backlit",1.35,Mac OS,MacBook Air 13" 2017 1.8GHz Core i5 128GB,18.990.000 ₫
106,AMD Ryzen 5-3550H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & AMD Radeon RX Graphics Vega 10,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, LED-backlit",2.1,Windows 10,Acer Aspire Gaming A715-41G-R282/R5-3550H,18.790.000 ₫
107,Intel Core i5-1135G7,"8 GB, DDR4, 3200 MHz",SSD 256 GB,Intel Iris Xe Graphics,"15.6"", 1920 x 1080 Pixel, WVA, 60 Hz, 220 nits, WVA Anti-glare LED Backlit Narrow Border",1.7,Windows 10,Dell Vostro V5502 i5 1135G7,18.690.000 ₫
108,AMD Ryzen 5-4600H,"8 GB, DDR4, 3200 MHz",SSD 256 GB,AMD Radeon Graphics,"15.6"", 1920 x 1080 Pixel, 144 Hz",1.96,Windows 10,MSI Gaming Bravo15 A4DCR-270VN/R5-4600H,18.690.000 ₫
109,Intel Core i5-9300H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 Max-Q 4 GB & Intel UHD Graphics 630,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, LED-backlit",1.86,Windows 10,MTXT MSI GF63 9SCXR i5 9300H/075VN,18.690.000 ₫
110,Intel Core i5-1035G1,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce MX250 2 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, Anti-glare LED-backlit",1.761,Windows 10,HP Pavilion 15-cs3060TX/i5-1035G1,18.190.000 ₫
