STT,CPU,RAM,Ổ cứng,Đồ họa,Màn hình,Trọng lượng (kg),Hệ điều hành,Name,Price
172,Intel Core i3-10110U,"4 GB, DDR4, 2666 MHz",SSD 256 GB,Intel UHD Graphics 620,"15.6"", 1920 x 1080 Pixel, TN, 60 Hz, 220 nits, Anti-glare LED-backlit",1.99,Windows 10,Dell Vostro V3590 i3-10110U/V5I3101W,11.790.000 ₫
173,Intel Core i3-1005G1,"4 GB, DDR4, 2666 MHz",SSD 256 GB,Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, TN, 60 Hz, 220 nits, Anti-glare LED-backlit",2,Windows 10,Dell Inspiron N3593C i3 1005G1/P75F013N93C,11.490.000 ₫
174,Intel Core i3-8145U,"4 GB, DDR4, 2400 MHz",SSD 512 GB,Intel UHD Graphics 620,"14.0"", 1920 x 1080 Pixel, 60 Hz, Anti-glare LED-backlit",1.5,Windows 10,Asus Vivobook A412FA-EK380T/Core i3-8145U,11.490.000 ₫
175,Intel Core i3-1005G1,"4 GB, DDR4, 2666 MHz",SSD 256 GB,Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, WVA, 60 Hz, 220 nits",1.91,Windows 10,Dell Inspiron N3501A i3 1005G1,11.440.000 ₫
176,AMD Ryzen 3-3250U,"4 GB, DDR4, 2400 MHz",SSD 512 GB,AMD Radeon Graphics Vega 3,"14.0"", 1920 x 1080 Pixel, TN, 60 Hz, 200 nits, Anti-glare LED-backlit",1.5,Windows 10,Asus Vivobook A412DA-EK612T/R3-3250U,11.390.000 ₫
177,AMD Ryzen 3-4300U,"4 GB, DDR4, 2666 MHz",SSD 512 GB,AMD Radeon Graphics,"14.0"", 1920 x 1080 Pixel, TN, 220 nits, LED-backlit",1.5,Windows 10,Lenovo IdeaPad 3 14ARE05 Ryzen 3 4300U/81W3002FVN,11.290.000 ₫
178,Intel Core i3-1005G1,"8 GB, DDR4, 2666 MHz",SSD 512 GB,Intel UHD Graphics 620,"15.6"", 1920 x 1080 Pixels, TN, 60 Hz, 200 nits, Anti - Glare",1.90 kg,Windows 10,Asus Vivobook X509JA-EJ247T/i3-1005G1,11.290.000 ₫
179,Intel Core i3-1005G1,"4 GB, DDR4, 2666 MHz",SSD 256 GB,NVIDIA GeForce MX130 2 GB & Intel UHD Graphics,"15.6"", 1366 x 768 Pixel, SVA, 60 Hz, 220 nits, Micro-edge WLED-backlit",1.75,Windows 10,HP 15s-du2049TX/i3-1005G1,11.190.000 ₫
180,AMD Ryzen 3-3200U,"4 GB, DDR4, 2400 MHz",SSD 512 GB,AMD Radeon Graphics Vega 3,"14.0"", 1920 x 1080 Pixel, 60 Hz, LED-backlit",1.5,Windows 10,Asus Vivobook A412DA-EK347T/R3-3200U,11.190.000 ₫
181,Intel Core i3-8145U,"4 GB, DDR4, 2400 MHz",SSD 512 GB,Intel UHD Graphics 620,"15.6"", 1920 x 1080 Pixel, 60 Hz, LED-backlit",1.9,Windows 10,Asus Vivobook X509FA-EJ871T/i3-8145U,10.890.000 ₫
182,Intel Core i3-1005G1,"4 GB, DDR4, 2666 MHz",SSD 256 GB,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, LED-backlit",1.724,Windows 10,Dell Inspiron N3493 i3 1005G1/WTW3M2,10.790.000 ₫
183,Intel Core i3-8145U,"4 GB, DDR4, 2400 MHz",SSD 512 GB,Intel UHD Graphics 620,"14.0"", 1920 x 1080 Pixel, 60 Hz, LED-backlit",1.6,Windows 10,Asus Vivobook X409FA-EK470T/i3-8145U,10.690.000 ₫
184,AMD Ryzen 3-3250U,"4 GB, DDR4, 2400 MHz",SSD 512 GB,AMD Radeon Graphics Vega 3,"14.0"", 1366 x 768 Pixel, SVA, 60 Hz, 220 nits, LED-backlit",1.47,Windows 10,HP 14s-dk1062au/ R3 3250U,10.690.000 ₫
185,Intel Core i3-1005G1,"4 GB, DDR4, 2666 MHz",SSD 256 GB,Intel UHD Graphics,"15.6"", 1366 x 768 Pixel, SVA, 60 Hz, 220 nits, Micro-edge WLED-backlit",1.65,Windows 10,HP 15s-fq1107TU/i3-1005G1,10.690.000 ₫
186,Intel Core i3-1005G1,"4 GB, DDR4, 2666 MHz",SSD 512 GB,Intel UHD Graphics 620,"15.6"", 1920 x 1080 Pixels, 60 Hz, 200 nits, Anti - Glare",1.90 kg,Windows 10,Asus Vivobook X509JA-EJ371T/i3-1005G1,10.690.000 ₫
187,Intel Core i3-8130U,"4 GB, DDR4, 2666 MHz",SSD 256 GB,Intel UHD Graphics 620,"14.0"", 1366 x 768 Pixel, 60 Hz, 220 nits, WLED-backlit",1.42,Windows 10,HP 348 G7 i3 8130U/9PG80PA,10.690.000 ₫
188,Intel Core i3-1005G1,"4 GB, DDR4, 2400 MHz",SSD 256 GB,Intel HD Graphics 520,"14.0"", 1920 x 1080 Pixel, TN, 60 Hz, 220 nits, Nano Edge",1.6,Windows 10,Asus Vivobook X409JA-EK237T/i3-1005G1,10.290.000 ₫
189,Intel Core i3-1005G1,"4 GB, DDR4, 2400 MHz",SSD 256 GB,Intel HD Graphics 520,"14.0"", 1920 x 1080 Pixel, TN, 60 Hz, 220 nits, Nano Edge",1.6,Windows 10,Asus Vivobook X409JA-EK237T/i3-1005G1,10.290.000 ₫
190,Intel Core i3-1005G1,"4 GB, DDR4",SSD 256 GB,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, SVA, 60 Hz, 200 nits, LED Backlit",1.6,Windows 10,Asus Vivobook X409JA-EK312T/i3-1005G1,10.290.000 ₫
191,AMD Ryzen 3-3250U,"4 GB, DDR4, 2400 MHz",SSD 256 GB,AMD Radeon Graphics Vega 3,"14.0"", 1366 x 768 Pixel, SVA, 60 Hz, 220 nits, LED-backlit",1.47,Windows 10,HP 14s-dk1055au/R3 3250U,9.790.000 ₫
192,AMD Ryzen 3-3250U,"4 GB, DDR4, 2400 MHz",SSD 256 GB,AMD Radeon Graphics Vega 3,"14.0"", 1920 x 1080 Pixel, TN, 60 Hz, 200 nits, Anti-glare LED-backlit",1.9,Windows 10,Asus Vivobook D409DA-EK500T/R3-3250U,9.690.000 ₫
193,AMD Ryzen 3-3250U,"4 GB, DDR4, 2400 MHz",SSD 256 GB,AMD Radeon Graphics,"15.6"", 1920 x 1080 Pixel, 60 Hz, LED-backlit",1.7,Windows 10,Acer Aspire 3 A315 23 R8BA R3 3250U/NX.HVUSV.001,9.490.000 ₫
194,AMD Ryzen 3-3200U,"4 GB, DDR4, 2400 MHz",SSD 256 GB,AMD Radeon Graphics Vega 3,"14.0"", 1920 x 1080 Pixel, TN, 60 Hz, 200 nits, LED-backlit",1.9,Windows 10,Asus Vivobook D409DA-EK110T/R3-3200U,9.490.000 ₫
195,AMD Ryzen 3-3250U,"4 GB, DDR4, 2400 MHz",SSD 256 GB,AMD Radeon Graphics,"15.6"", 1920 x 1080 Pixel, TN, 220 nits, LED-backlit",1.5,Windows 10,Lenovo IdeaPad 3 15ADA05 R3 3250U/81W100GUVN,9.490.000 ₫
196,AMD Ryzen 3-3200U,"4 GB, DDR4, 2400 MHz",SSD 256 GB,AMD Radeon Graphics,"14.0"", 1920 x 1080 Pixels, 220 nits, FHD",1.6 kg,Windows 10 Home,Lenovo Ideapad S145 - 14API/R3 3200U,9.290.000 ₫
197,Intel Pentium N5000,"4 GB, DDR4, 2400 MHz",SSD 256 GB,Intel UHD Graphics 605,"15.6"", 1366 x 768 Pixel, 60 Hz, Anti-glare LED-backlit",1.7,Windows 10,Asus Vivobook X509MA-BR063T/N5000,7.990.000 ₫
198,Intel Pentium N5030,"4 GB, DDR4, 2400 MHz",SSD 256 GB,Intel UHD Graphics 605,"15.6"", 1366 x 768 Pixel, 60 Hz, 200 nits, Anti-glare LED-backlit",1.7,Windows 10,Asus Vivobook X509MA-BR338T/N5030,7.990.000 ₫
199,Intel Celeron N4020,"4 GB, DDR4, 2666 MHz",SSD 256 GB,Intel UHD Graphics 600,"15.6"", 1280 x 720 Pixel, Acer ComfyView LED-backlit",1.7,Windows 10,Acer Aspire 3 A315 34 C38Y CDC N4020/NX.HE3SV.00G,6.999.000 ₫
200,,,,,,,,Asus Vivobook X509MA-BR272T/N4020,6.990.000 ₫
201,Intel Core i7-10750H,"16 GB, DDR4, 2933 MHz",SSD 1 TB,NVIDIA GeForce GTX 1660Ti Max-Q 6 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, 400 nits, LED Backlit",2.14,Windows 10,HP Envy 15-ep0145TX i7 10750H,54.490.000 ₫
202,Intel Core i7-10750H,"16 GB, DDR4, 2666 MHz",SSD 512 GB,Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, LED-backlit",2.3,Windows 10,MSI Leopard GL65 10SDK-242VN/Core i7-10750H,33.490.000 ₫
203,Intel Core i7-10750H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce RTX 2060 6 GB,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz",1.86,Windows 10,MSI Gaming GF65 10SER-622VN/i7-10750H,32.490.000 ₫
204,Intel Core i5-10210U,"8 GB, LPDDR4, 1600 MHz",SSD 256 GB,NVIDIA Quadro P520 4GB & Intel UHD Graphics 620,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 400 nits, Anti-glare LED-backlit",1.41,Windows 10,HP Zbook Firefly 14 G7 i5 10210U/8VK70AV,31.400.000 ₫
205,Intel Core i7-10750H,"8 GB, DDR4, 2933 MHz",SSD 512 GB,NVIDIA GeForce GTX 1660Ti 6 GB,"15.6"", 1920 x 1080 Pixel, WVA, 120 Hz, 250 nits, Anti-glare LED-backlit",2.34,Windows 10,Dell G5 15 5500 i7 10750H,30.890.000 ₫
206,Intel Core i7-1185G7,"16 GB, LPDDR4",SSD 512 GB,Intel Iris Xe Graphics,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 300 nits",1.29,Windows 10,MSI Prestige 14EVO A11M-089VN i7-1185G7,29.990.000 ₫
207,Intel Core i5-10300H,"16 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1660Ti 6 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 300 nits, Acer ComfyView Anti-glare LED-backlit",1.86,Windows 10,MSI Gaming GF65 10SDR-623VN/i5-10300H,28.990.000 ₫
208,Intel Core i7-10750H,"8 GB, DDR4, 2933 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & Intel UHD Graphics 630,"15.6"", 1920 x 1080 Pixels, IPS, 60 Hz, 250 nits, IPS LCD",2.23 Kg,Windows 10 Home SL 64,HP Pavilion Gaming 15 dk1074TX i7 10750H/1K3U8PA,26.990.000 ₫
209,Intel Core i7-1165G7,"8 GB, LPDDR4, 4266 MHz",SSD 512 GB,NVIDIA GeForce MX350 2 GB & Intel Iris Xe Graphics,"13.3"", 1920 x 1080 Pixel, WVA, 60 Hz, 300 nits, Anti-glare LED-backlit",1.25,Windows 10,Dell Vostro V5301 i7 1165G7,26.990.000 ₫
210,AMD Ryzen 7-4700U,"8 GB, DDR4, 3200 MHz",SSD 256 GB,AMD Radeon Graphics,"13.3"", 1920 x 1080 Pixels, IPS, 60 Hz, 300 nits, FHD Touch",1.32kg,Windows 10 Home,HP Envy x360 13 ay0069AU R7 4700U/171N3PA,26.690.000 ₫
211,Intel Core i5-1135G7,"8 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce MX330 2 GB & Intel Iris Xe Graphics,"14.0"", 1920 x 1080 Pixel, WVA, 60 Hz, 220 nits, WVA Anti-glare LED Backlit Narrow Border",1.72,Windows 10,Dell Insprion N5406 i5 1135G7,24.490.000 ₫
212,Intel Core i5-10300H,"8 GB, DDR4, 2933 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 120 Hz, 250 nits, LED-backlit",2.3,Windows 10,Lenovo Legion 5 15IMH05 i5 10300H/82AU004XVN,23.790.000 ₫
213,Intel Core i7-1165G7,"8 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce MX330 2 GB & Intel Iris Xe Graphics,"15.6"", 1920 x 1080 Pixel, WVA, 60 Hz, 220 nits, WVA Anti-glare LED Backlit Narrow Border",1.96,Windows 10,Dell Inspiron N3501 i7 1165G7,21.390.000 ₫
214,Intel Core i5-1135G7,"8 GB, DDR4, 3200 MHz",SSD 512 GB,Intel Iris Xe Graphics,"14.0"", 1920 x 1080 Pixel, WVA, 60 Hz, 220 nits, WVA Anti-glare LED Backlit Narrow Border",1.72,Windows 10,Dell Inspiron N5406 2 in 1 i5 1135G7,21.190.000 ₫
215,Intel Core i5-10300H,"8 GB, DDR4, 2933 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits",2.2,Windows 10,Lenovo IdeaPad Gaming 3 15IMH05 i5 10300H/81Y4006SVN,20.990.000 ₫
216,AMD Ryzen 7-4800H,"8 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & AMD Radeon Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits",2.2,Windows 10,Lenovo IdeaPad Gaming 3 15ARH05 R7 4800H/82EY005RVN,19.790.000 ₫
217,Intel Core i5-1135G7,"8 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce MX330 2 GB & Intel Iris Xe Graphics,"15.6"", 1920 x 1080 Pixel, WVA, 60 Hz, 220 nits, WVA Anti-glare LED Backlit Narrow Border",1.96,Windows 10,Dell Inspiron N3501 i5 1135G7,18.590.000 ₫
218,Intel Core i5-1135G7,"8 GB, DDR4, 3200 MHz",SSD 512 GB,Intel Iris Xe Graphics,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits, LED-backlit",1.5,Windows 10,Lenovo IdeaPad Flex 5 14ITL05 i5 1135G7,17.590.000 ₫
219,Intel Core i5-1035G1,"8 GB, DDR4, 2666 MHz",SSD 256 GB,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, WVA, 60 Hz, 220 nits, Anti-glare LED-backlit",1.66,Windows 10,Dell Vostro V3491 i5 1035G1,15.690.000 ₫
220,Intel Core i5-1035G1,"4 GB, DDR4, 2666 MHz",SSD 512 GB,Intel UHD Graphics,"15.6"", 1366 x 768 Pixel, SVA, 60 Hz, 220 nits, Micro-edge WLED-backlit",1.65,Windows 10,HP 15s-fq1017TU/i5-1035G1,14.890.000 ₫
221,Intel Core i3-1115G4,"8 GB, DDR4, 2666 MHz",SSD 256 GB,Intel Iris Xe Graphics,"14.0"", 1920 x 1080 Pixel, WVA, 60 Hz, 220 nits, WVA Anti-glare LED Backlit Narrow Border",1.64,Windows 10,Dell Vostro V3400 i3 1115G4,11.990.000 ₫
