STT,Company,CPU,RAM,Bus,SSD,HDD,GPU_name,GPU_ram,Screen,Độ phân giải,Weight,Price
120,Acer,Intel Core i5-8265U,4 GB, 2133 MHz,256,0.0,On board,0,14,1920 x 1080,1.5,17690000.0
122,Dell,Intel Core i5-1135G7,8 GB, 4267 MHz,512,0.0,NVIDIA GeForce MX330,2,15.6,1920 x 1080,1.64,21490000.0
123,Lenovo,Intel Core i7-10750H,8 GB, 2933 MHz,256,0.0,NVIDIA GeForce GTX 1650,4,15.6,1920 x 1080,2.3,28490000.0
124,Asus,Intel Core i7-8550U,4 GB, 2400 MHz,0,1000.0,NVIDIA GeForce MX110,2,15.6,1366 x 768,1.8,16390000.0
125,Lenovo,Intel Core i7-10510U,8 GB, 2666 MHz,512,0.0,On board,0,13,2160x1350,0.3695,29490000.0
126,Dell,Intel Core i7-8565U,8 GB, 2666 MHz,256,0.0,AMD Radeon 520,2,15.6,1920 x 1080,2.28,21490000.0
127,Lenovo,Intel Core i7-1065G7,8 GB, 3200 MHz,512,0.0,On board,0,14,1920 x 1080,1.55,24990000.0
128,Asus,Intel Core i7-8550U,4 GB, 2400 MHz,0,1000.0,NVIDIA GeForce MX110,2,15.6,1366 x 768,1.8,16390000.0
129,Lenovo,Intel Core i3-1005G1,8 GB, 2666 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.79,14090000.0
130,Lenovo,Intel Core i5-10210U,8 GB, 2666 MHz,512,0.0,On board,0,13,2160x1350,0.3695,26690000.0
131,Dell,Intel Core i5-8265U,4 GB, 2666 MHz,256,0.0,On board,0,13.3,1920 x 1080,2.0,20290000.0
132,Asus,Intel Core i3-8145U,4 GB, 2400 MHz,512,0.0,On board,0,14,1920 x 1080,1.5,12290000.0
133,Acer,Intel Core i3-8145U,4 GB, 2400 MHz,256,0.0,On board,0,14,1920 x 1080,1.45,14290000.0
134,Acer,Intel Core i7-8550U,8 GB, 2400 MHz,128,0.0,NVIDIA Geforce MX150,2,15.6,1920 x 1080,1.7,23090000.0
135,HP,Intel Core i5-8265U,4 GB, 2400 MHz,0,1000.0,On board,0,15.6,1920 x 1080,1.74,14390000.0
136,Lenovo,Intel Core i5-1035G4,8 GB, 2666 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.79,15990000.0
137,Lenovo,Intel Core i5-8250U,4 GB, 2133 MHz,0,1000.0,On board,0,15.6,1920 x 1080,2.2,12690000.0
138,Lenovo,Intel Core i5-8265U,8 GB, 2133 MHz,512,0.0,On board,0,13.3,1920 x 1080,1.09,23690000.0
139,Dell,Intel Core i5-1135G7,8 GB, 4267 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.7,20490000.0
140,Dell,Intel Core i5-8265U,4 GB, 2400 MHz,0,1000.0,NVIDIA Geforce MX130,2,15.6,1920 x 1080,1.95,17290000.0
141,HP,Intel Core i5-1035G4,8 GB, 3200 MHz,256,0.0,On board,0,13.3,1920 x 1080,1.258,21690000.0
142,Acer,Intel Core i5-8265U,4 GB, 2400 MHz,0,1000.0,On board,0,15.6,1920 x 1080,1.7,11690000.0
143,LG,Intel Core i5-1035G7,8 GB, 3200 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.12,33990000.0
144,Lenovo,Intel Core i5-8265U,8 GB, 2133 MHz,256,0.0,On board,0,14,1920 x 1080,1.6,17190000.0
145,Acer,Intel Core i7-8565U,8 GB, 2133 MHz,256,0.0,On board,0,14,1920 x 1080,940,27490000.0
146,LG,Intel Core i5-1035G7,8 GB, 3200 MHz,256,0.0,On board,0,14,1920 x 1080,0.999,28990000.0
147,LG,Intel Core i7-1065G7,8 GB, 3200 MHz,512,0.0,On board,0,17,2560 x 1600,1.35,38490000.0
148,Asus,Intel Core i3-8145U,4 GB, 2400 MHz,512,0.0,On board,0,14,1920 x 1080,1.5,12790000.0
149,Dell,Intel Core i5-1135G7,8 GB, 4267 MHz,512,0.0,On board,0,13.3,1920 x 1080,1.06,20990000.0
150,HP,Intel Core i5-10210U,8 GB, 2666 MHz,256,0.0,NVIDIA Quadro P520,4,14,1920 x 1080,1.41,31590000.0
151,Dell,Intel Core i7-1165G7,16 GB, 4267 MHz,512,0.0,On board,0,13.4,3840 x 2400,1.32,58990000.0
152,Acer,Intel Core i7-8550U,4 GB, 2133 MHz,0,1000.0,NVIDIA Geforce MX130,2,15.6,1920 x 1080,2.23,16990000.0
153,Acer,Intel Core i5-8250U,8 GB, 2400 MHz,256,0.0,On board,0,13.3,1920 x 1080,1.56,21190000.0
154,Acer,Intel Core i3-8145U,4 GB, 2666 MHz,0,500.0,On board,0,14,1280 x 720,1.9,11590000.0
155,HP,Intel Core i5-8265U,4 GB, 2666 MHz,0,1000.0,NVIDIA Geforce MX130,2,15.6,1920 x 1080,1.82,16190000.0
156,Lenovo,Intel Core i7-10510U,8 GB, 2666 MHz,512,0.0,On board,0,14,1920 x 1080,1.5,21490000.0
157,Acer,Intel Core i7-10750H,8 GB, 2933 MHz,512,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6,1920 x 1080,2.3,28790000.0
158,Dell,Intel Core i7-10750H,8 GB, 2933 MHz,512,0.0,NVIDIA GeForce GTX 1660Ti,6,15.6,1920 x 1080,2.65,30790000.0
159,Lenovo,Intel Core i7-8550U,8 GB, 2666 MHz,256,0.0,On board,0,14,1920 x 1080,1.54,20490000.0
160,Dell,Intel Core i5-1135G7,8 GB, 4267 MHz,256,0.0,On board,0,13.4,1920 x 1200,1.32,41490000.0
161,Lenovo,Intel Core i3-8145U,8 GB, 2133 MHz,256,0.0,On board,0,14,1920 x 1080,1.6,15290000.0
162,HP,Intel Core i3-8145U,4 GB, 2666 MHz,0,1000.0,On board,0,15.6,1920 x 1080,1.75,13090000.0
163,Dell,Intel Core i5-1135G7,8 GB, 4267 MHz,512,0.0,On board,0,13.3,1920 x 1080,1.37,27390000.0
