,Name,CPU,RAM,Ổ cứng,Card đồ họa,Màn hình,Trọng lượng (kg),Price
68,MSI Gaming GF63 9SCSR-846VN/i7-9750H,Core i7,8 GB,SSD 512 GB,GeForce GTX 1650 Ti 4GB,"15.6""",1.86,23.990.000 ₫
69,MSI Prestige14 Evo-206VN/i5-1135G7,Core i5,8 GB,SSD 512 GB,Iris Xe Graphics,"14.0""",1.29,23.990.000 ₫
70,Asus TUF FA506II-AL016T/R7-4800H,Ryzen 7,8 GB,SSD 512 GB,GeForce GTX 1650 Ti 4GB,"15.6""",2.3,23.690.000 ₫
71,Asus Strix G512-IAL013T/I5-10300H,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650 Ti 4GB,"15.6""",2.39,23.490.000 ₫
72,HP Envy 13 ba1028TU i5 1135G7,Core i5,8 GB,SSD 512 GB,Card Onboard,"13.3""",1.31,23.290.000 ₫
73,HP ProBook 450 G7/i7-10510U,Core i7,8 GB,SSD 512 GB,GeForce MX250 2GB,"15.6""",2,23.290.000 ₫
74,HP Envy x360 13 ay0067AU R5 4500U/171N1PA,Ryzen™ 5,8 GB,SSD 256 GB,AMD Radeon Graphics Vega 6,"13.3""",1.32kg,22.990.000 ₫
75,Asus Strix G531GT-HN553T/I5-9300H,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",2.42,22.590.000 ₫
76,Asus Zenbook UX425EA-BM066T/i5-1135G7,Core i5,8 GB,SSD 512 GB,Intel Iris Xe Graphics,"14.0""",1.17,22.490.000 ₫
77,Asus Zenbook UX425EA-BM069T/Core i5-1135G7,Core i5,8 GB,SSD 512 GB,Iris Plus Graphics,"14.0""",1.17,22.490.000 ₫
78,HP Envy 13 ba1027TU i5 1135G7/2K0B1PA,Core i5,8 GB,SSD 256 GB,Card Onboard,"13.3""",1.25,22.390.000 ₫
79,Acer Nitro Gaming 5 AN515-55-5923/Core i5-10300H,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650 Ti 4GB,"15.6""",2.3,22.390.000 ₫
80,Acer Nitro 5 AN515-55-5304 i5 10300H/NH.Q7NSV.002,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650 Ti 4GB,"15.6""",2.3,22.390.000 ₫
81,Asus TUF Gaming FX506LI-HN039T/i5-10300H,Core i5,8 GB,SSD 512 GB,NVIDIA GeForce GTX1650Ti 4Gb,"15.6""",2.3,22.290.000 ₫
82,HP Pavilion Gaming 15-dk1083TX i5 10300H/206R0PA,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",2.3,22.290.000 ₫
83,Asus TUF FA506II-AL012T/R5-4600H,Ryzen 5,8 GB,SSD 512 GB,GeForce GTX 1650 Ti 4GB,"15.6""",2.3,22.190.000 ₫
84,Lenovo Legion 5-15ARH05/R5 4600H,Ryzen 5,8 GB,SSD 512 GB,Geforce GTX1650 4GB,"15.6""",2.3,21.990.000 ₫
85,Dell Gaming G3 15 3500 i5 10300H/70223130,Core i5,8 GB,HDD 1000 GB & SSD 256 GB,GeForce GTX 1650 4GB,"15.6""",2.34,21.990.000 ₫
86,Acer Nitro Gaming 5 AN515 54 595D/i5-9300H,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",2.3,21.790.000 ₫
87,HP Envy 13-ba0045TU i5 1035G4/171M2PA,Core i5,8 GB,SSD 256 GB,Intel Iris Plus Graphics,"13.3""",1.25,21.690.000 ₫
