,Name,CPU,RAM,Ổ cứng,Card đồ họa,Màn hình,Trọng lượng (kg),Price
197,Asus Vivobook X509MA-BR063T/N5000,Pentium,4 GB,SSD 256 GB,Intel UHD Graphics,"15.6""",1.7,7.990.000 ₫
198,Asus Vivobook X509MA-BR338T/N5030,Pentium,4 GB,SSD 256 GB,Intel UHD Graphics,"15.6""",1.7,7.990.000 ₫
199,Acer Aspire 3 A315 34 C38Y CDC N4020/NX.HE3SV.00G,Celeron,4 GB,SSD 256 GB,Card Onboard,"15.6""",1.7,6.999.000 ₫
200,Asus Vivobook X509MA-BR272T/N4020,Celeron,4 GB,,Intel UHD Graphics,"15.6""",1.90 kg,6.990.000 ₫
201,HP Envy 15-ep0145TX i7 10750H,Core i7,16 GB,SSD 1 TB,NVIDIA® GeForce RTX 1660 Max- Q 6GB,"15.6""",2.14,54.490.000 ₫
202,MSI Leopard GL65 10SDK-242VN/Core i7-10750H,Core i7,16 GB,SSD 512 GB,GeForce GTX 1660 Ti 6GB,"15.6""",2.3,33.490.000 ₫
203,MSI Gaming GF65 10SER-622VN/i7-10750H,Core i7,8 GB,SSD 512 GB,GeForce RTX 2060 6GB,"15.6""",1.86,32.490.000 ₫
204,HP Zbook Firefly 14 G7 i5 10210U/8VK70AV,Core i5,8 GB,SSD 256 GB,NVIDIA Quadro P520 4GB,"14.0""",1.41,31.400.000 ₫
205,Dell G5 15 5500 i7 10750H,Core i7,8 GB,SSD 512 GB,GeForce RTX1660 Ti 6GB,"15.6""",2.34,30.890.000 ₫
206,MSI Prestige 14EVO A11M-089VN i7-1185G7,Core i7,16 GB,SSD 512 GB,Intel Iris Xe Graphics,"14.0""",1.29,29.990.000 ₫
207,MSI Gaming GF65 10SDR-623VN/i5-10300H,Core i5,16 GB,SSD 512 GB,GeForce GTX 1660 Ti 6GB,"15.6""",1.86,28.990.000 ₫
208,HP Pavilion Gaming 15 dk1074TX i7 10750H/1K3U8PA,Core i7,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",2.23 Kg,26.990.000 ₫
209,Dell Vostro V5301 i7 1165G7,Core i7,8 GB,SSD 512 GB,GeForce MX350 2GB,"13.3""",1.25,26.990.000 ₫
210,HP Envy x360 13 ay0069AU R7 4700U/171N3PA,Ryzen™ 7,8 GB,SSD 256 GB,AMD Radeon Graphics,"13.3""",1.32kg,26.690.000 ₫
211,Dell Insprion N5406 i5 1135G7,Core i5,8 GB,SSD 512 GB,GeForce MX330 2GB,"14.0""",1.72,24.490.000 ₫
212,Lenovo Legion 5 15IMH05 i5 10300H/82AU004XVN,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",2.3,23.790.000 ₫
213,Dell Inspiron N3501 i7 1165G7,Core i7,8 GB,SSD 512 GB,GeForce MX330 2GB,"15.6""",1.96,21.390.000 ₫
214,Dell Inspiron N5406 2 in 1 i5 1135G7,Core i5,8 GB,SSD 512 GB,Intel Iris Xe Graphics,"14.0""",1.72,21.190.000 ₫
215,Lenovo IdeaPad Gaming 3 15IMH05 i5 10300H/81Y4006SVN,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",2.2,20.990.000 ₫
216,Lenovo IdeaPad Gaming 3 15ARH05 R7 4800H/82EY005RVN,Ryzen 7,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",2.2,19.790.000 ₫
217,Dell Inspiron N3501 i5 1135G7,Core i5,8 GB,SSD 512 GB,GeForceMX330 2GB,"15.6""",1.96,18.590.000 ₫
218,Lenovo IdeaPad Flex 5 14ITL05 i5 1135G7,Core i5,8 GB,SSD 512 GB,Intel Iris Xe Graphics,"14.0""",1.5,17.590.000 ₫
219,Dell Vostro V3491 i5 1035G1,Core i5,8 GB,SSD 256 GB,Intel UHD Graphics,"14.0""",1.66,15.690.000 ₫
220,HP 15s-fq1017TU/i5-1035G1,Core i5,4 GB,SSD 512 GB,Intel UHD Graphics 620,"15.6""",1.65,14.890.000 ₫
221,Dell Vostro V3400 i3 1115G4,Core i3,8 GB,SSD 256 GB,Card Onboard,"14.0""",1.64,11.990.000 ₫
