,Name,CPU,RAM,Ổ cứng,Card đồ họa,Màn hình,Hệ điều hành,Pin,Trọng lượng,Màu sắc,Kích thước,Price
0,"Laptop LG Gram 2020 14Z90N-V.AR52A5 (i5-1035G7 | 8GB | 256GB | Intel Iris Plus Graphics | 14"" FHD | Win 10)",Intel Core i5-1035G7 1.2GHz up to 3.7GHz 6MB,"8GB DDR4 3200MHz Onboard (1x SO-DIMM socket, up to 16GB SDRAM)","256GB PCIe® NVMe™ M.2 SSD (2 slot, còn trống 1 khe SSD)",Intel® Iris® Plus Graphics,"14"" FHD (1920 x 1080) IPS, sRGB 96%, 300nits",Windows 10 Home,4 Cell 72WHr (9.450mAh),999 g,Dark Silver,323.4 x 209.8 x 16.8mm,"27,990,000₫"
1,"Laptop LG Gram 2020 17Z90N-V.AH75A5 (i7-1065G7 | 8GB | 512GB | Intel Iris Plus Graphics | 17"" WQXGA | Win 10)",Intel Core i7-1065G7 1.30GHz up to 3.90GHz,"8GB DDR4 3200MHz Onboard (1x SO-DIMM socket, up to 16GB SDRAM)","512GB PCIe® NVMe™ M.2 SSD (2 slot, còn trống 1 khe SSD)",Intel® Iris® Plus Graphics,"17"" WQXGA (2560 x 1600) IPS",Windows 10 Home,80WHr 10.336mAh,1.350 g,Dark Silver,380.6 x 262.6 x 17.4 mm,"35,990,000₫"
2,"Laptop LG Gram 2020 15Z90N-V.AR55A5 (i5-1035G7 | 8GB | 512GB | Intel Iris Plus Graphics | 15.6"" FHD | Win 10)",Intel Core i5-1035G7 1.2GHz up to 3.7GHz 6MB,"8GB DDR4 3200MHz Onboard (1x SO-DIMM socket, up to 16GB SDRAM)","512GB PCIe® NVMe™ M.2 SSD (2 slot, còn trống 1 khe SSD)",Intel® Iris® Plus Graphics,"15"" FHD (1920 x 1080) IPS, sRGB 96%, 300nits",Windows 10 Home,80WHr 10.336mAh,1.120 g,Dark Silver,357.6 x 225.3 x 16.8 mm,"31,990,000₫"
3,"Laptop LG Gram 2020 14ZD90N-V.AX53A5 (i5-1035G7 | 8GB | 256GB | Intel Iris Plus Graphics | 14"" FHD | DOS)",Intel Core i5-1035G7 1.2GHz up to 3.7GHz 6MB,"8GB DDR4 3200MHz Onboard (1x SO-DIMM socket, up to 16GB SDRAM)","256GB PCIe® NVMe™ M.2 SSD (2 slot, còn trống 1 khe SSD)",Intel® Iris® Plus Graphics,"14"" FHD (1920 x 1080) IPS, sRGB 96%, 300nits",Free DOS,4 Cell 72WHr (9.450mAh),999 g,White,323.4 x 209.8 x 16.8mm,"24,990,000₫"
4,"Laptop LG Gram 2020 14ZD90N-V.AX55A5 (i5-1035G7 | 8GB | 512GB | Intel Iris Plus Graphics | 14"" FHD | DOS)",Intel Core i5-1035G7 1.2GHz up to 3.7GHz 6MB,"8GB DDR4 3200MHz Onboard (1x SO-DIMM socket, up to 16GB SDRAM)","512GB PCIe® NVMe™ M.2 SSD (2 slot, còn trống 1 khe SSD)",Intel® Iris® Plus Graphics,"14"" FHD (1920 x 1080) IPS, sRGB 96%, 300nits",Free DOS,4 Cell 72WHr (9.450mAh),999 g,Dark Silver,323.4 x 209.8 x 16.8mm,"26,990,000₫"
5,"Laptop LG Gram 2020 15ZD90N-V.AX56A5 (i5-1035G7 | 8GB | 512GB | Intel Iris Plus Graphics | 15.6"" FHD | DOS)",Intel Core i5-1035G7 1.2GHz up to 3.7GHz 6MB,"8GB DDR4 3200MHz Onboard (1x SO-DIMM socket, up to 16GB SDRAM)","512GB PCIe® NVMe™ M.2 SSD (2 slot, còn trống 1 khe SSD)",Intel® Iris® Plus Graphics,"15"" FHD (1920 x 1080) IPS, sRGB 96%, 300nits",Free DOS,80WHr 10.336mAh,1.120 g,White,357.6 x 225.3 x 16.8 mm,"28,990,000₫"
6,"Laptop Acer Predator Helios 300 PH315-52-75R6 (i7-9750H | 16GB | 512GB | VGA RTX 2060 6GB | 15.6"" FHD 144Hz | Win 10)",Intel Core i7-9750H 2.6GHz up to 4.5GHz 12MB,"16GB (8x2) DDR4 2666MHz (2x SO-DIMM socket, up to 32GB SDRAM)",512GB SSD M.2 PCIE G3X4 (Support RAID 0) (2 slots),NVIDIA GeForce RTX 2060 6GB GDDR6,"15.6"" FHD (1920 x 1080) IPS, Anti-Glare with 72% NTSC, 100% sRGB, 144Hz, 3ms, 300nits",Windows 10 Home,4 Cell 48 WHrs,2.4 kg,Abyssal Black,361.4 x 254.15 x 22.9 (mm),"35,990,000₫"
7,"Laptop MSI GF63 Thin 9SCSR-846VN (i7-9750H | 8GB | 512GB | VGA GTX 1650Ti 4GB | 15.6"" FHD 144Hz | Win 10)",Intel Core i7-9750H 2.6GHz up to 4.5GHz 12MB,"8GB DDR4 2666MHz (2x SO-DIMM socket, up to 32GB SDRAM)","512GB SSD M.2 PCIE, x1 slot 2.5"" SATA3",NVIDIA GeForce GTX 1650Ti 4GB GDDR5 with Max-Q Design + Intel UHD Graphics 630,"15.6"" FHD (1920 x 1080) IPS, 144Hz, Thin Bezel, Anti-Glare ",Windows 10 Home,3 Cell 51WHr,1.86 kg,Đen,359 x 254 x 21.7 mm,"21,990,000₫"
8,"Laptop MSI GF63 Thin 9SC-070VN (i7-9750H | 8GB | 256GB | VGA GTX 1650 4GB | 15.6"" FHD | Win 10)",Intel Core i7-9750H 2.6GHz up to 4.5GHz 12MB,"8GB DDR4 2666MHz (2x SO-DIMM socket, up to 32GB SDRAM)","256GB SSD M.2 PCIE, x1 slot 2.5"" SATA3",NVIDIA GeForce GTX 1650 4GB GDDR5 with Max-Q Design + Intel UHD Graphics 630,"15.6"" FHD (1920 x 1080) IPS, 60Hz, Thin Bezel, Anti-Glare with 45% NTSC",Windows 10 Home,3 Cell 51WHr,1.86 kg,Đen,359 x 254 x 21.7 mm,"20,990,000₫"
9,"Laptop MSI GF63 9SC-400VN (i5-9300H | 8GB | 256GB | VGA GTX 1650 4GB | 15.6"" FHD | Win 10)",Intel Core i5-9300H 2.4GHz up to 4.1GHz 8MB,"8GB DDR4 2666MHz (2x SO-DIMM socket, up to 32GB SDRAM)",256GB SSD M.2 PCIE,NVIDIA GeForce GTX 1650 4GB GDDR5 with Max-Q Design + Intel UHD Graphics 630,"15.6"" FHD (1920 x 1080) IPS, 60Hz, Thin Bezel, Anti-Glare with 45% NTSC",Windows 10 Home,3 Cell 51WHr,1.86 kg,Đen,359 x 254 x 21.7 mm,"17,990,000₫"
10,Laptop ASUS VivoBook S533EQ-BQ041T (i7-1165G7 | 16GB | 512GB | VGA MX350 2GB | 15.6'' FHD | Win 10),Intel Core i7-1165G7 2.8GHz up to 4.7GHz 12MB,16GB DDR4 3200MHz Onboard,512GB SSD M.2 PCIE G3X2 (Còn trống 1 khe SSD M.2 PCIE/ SATA3),NVIDIA GeForce MX350 2GB GDDR5 + Intel Iris Xe Graphics,"15.6"" FHD (1920 x 1080) IPS, Anti-Glare with 45% NTSC",Windows 10 Home,3 Cells 50WHrs,1.8 kg,Đen,35.98 x 23.38 x 1.61 (cm),"23,990,000₫"
11,Laptop ASUS VivoBook S533EQ-BQ011T (i5-1135G7 | 8GB | 512GB | VGA MX350 2GB | 15.6'' FHD | Win 10),Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,8GB DDR4 3200MHz Onboard,512GB SSD M.2 PCIE G3X2 (Còn trống 1 khe SSD M.2 PCIE/ SATA3),NVIDIA GeForce MX350 2GB GDDR5 + Intel Iris Xe Graphics,"15.6"" FHD (1920 x 1080) IPS, Anti-Glare with 45% NTSC",Windows 10 Home,3 Cells 50WHrs,1.8 kg,Đen,35.98 x 23.38 x 1.61 (cm),"21,290,000₫"
12,"Laptop Acer Nitro 5 2020 AN515-55-55E3 (i5-10300H | 16GB | 512GB | VGA RTX 2060 6GB | 15.6"" FHD 144Hz | Win 10)",Intel Core i5-10300H 2.5GHz up to 4.5GHz 8MB,"16GB DDR4 2933MHz (2x SO-DIMM socket, up to 32GB SDRAM)","512GB SSD M.2 PCIE (Còn trống 1 khe SSD M.2 PCIE và 1 khe 2.5"" SATA)",NVIDIA GeForce RTX 2060 6GB GDDR6 ,"15.6"" FHD (1920 x 1080)  IPS, Anti-Glare, 144Hz, 3ms, 100% sRGB",Windows 10 Home,4 Cell 57.5WHr,2.30 kg,Đen,363.4 x 255 x 23.9 mm,"28,490,000₫"
13,"Laptop ASUS ExpertBook B9450FA-BM0324T (i5-10210U | 8GB | 512GB | Intel UHD Graphics | 14"" FHD | Win 10)",Intel Core i5-10210U 1.6GHz up to 4.2GHz 6MB,8GB LDDR3 Onboard,Còn trống 1 khe SSD M.2 PCIE),Intel UHD Graphics,"14"" FHD (1920 x 1080) IPS with Anti-Glare, 72% NTSC, 100% sRGB, 300nits",Windows 10 Home,4 Cell 66WHr Lithium-Polymer,995g,"Xám nhôm, Blacklit keyboard",320 x 203 x 14.9 (mm),"32,990,000₫"
14,"Laptop HP Pavilion 15-eg0007TU (2D9K4PA) (i3-1115G4 | 4GB | 256GB | Intel UHD Graphics | 15.6"" FHD | Win 10 + Office)",Intel Core i3-1115G4 1.7GHz up to 4.1GHz 6MB,"4GB DDR4 3200MHz (2x SO-DIMM socket, up to 16GB SDRAM)",256GB PCIe® NVMe™ M.2 SSD,Intel UHD Graphics for 11th Gen Intel® Processors,"15.6"" FHD (1920 x 1080) IPS, Anti-Glare with 45% NTSC, 250 nits",Windows 10 Home + Microsoft Office Home and Student 2019,3 Cell 41WHr,1.75 kg,Xám,36.02 x 23.4 x 1.79 cm,"14,190,000₫"
15,"Laptop MSI Modern 14 B10MW-427VN (i3-10110U | 8GB | 256GB | Intel UHD Graphics | 14"" FHD | Win 10)",Intel Core i3-10110U 2.1GHz up to 4.1GHz 4MB,"8GB DDR4 3200MHz (1x SO-DIMM socket, up to 32GB SDRAM)",256GB PCIe NVMe™ M.2 SSD,Intel UHD Graphics,"14"" FHD (1920 x 1080) IPS-Level, 60Hz, 45% NTSC, Thin Bezel, 65% sRGB",Windows 10 Home,3 Cell 52WHr,1.29 kg,Carbon Gray,319 x 220.2 x 16.9 (mm),"13,990,000₫"
16,"Laptop MSI Modern 15 A11M-099VN (i5-1135G7 | 8GB | 512GB | Intel Iris Xe Graphics | 15.6"" FHD | Win 10)",Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,"8GB DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",512GB PCIe NVMe™ M.2 SSD (2 slots),Intel Iris Xe Graphics,"15.6"" FHD (1920 x 1080) IPS-Level, 60Hz, 45% NTSC, Thin Bezel",Windows 10 Home,3 Cell 52WHr,1.6 kg,Urban Silver,356.8 x 233.75 x 16.9 (mm),"18,990,000₫"
17,"Laptop ASUS ROG Strix G15 G512-IAL011T (i7-10750H | 8GB | 512GB | VGA GTX 1650Ti 4GB | 15.6"" FHD 144Hz | Win 10)",Intel Core i7-10750H 2.6GHz up to 5.0GHz 12MB,"8GB DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",512GB SSD PCIE G3X4 (Còn trống 2 khe SSD M.2 PCIE/ SATA3),NVIDIA GeForce GTX 1650Ti 4GB GDDR6 + Intel UHD Graphics,"15.6"" FHD (1920 x 1080) IPS, 144Hz, Wide View, 250nits, Narrow Bezel, Non-Glare with 45% NTSC, 67% sRGB",Windows 10 Home,3 Cell 48WHr,2.3 kg,Xanh,360 x 275 x 21~25.8 (mm),"25,990,000₫"
18,"Laptop HP ZBook Studio G7 (8YP49AV) (i9-10885H | 32GB | 1TB | VGA Quadro T2000  4GB | 15.6"" FHD | Win 10 Pro)",Intel Core i9-10885H 2.4GHz up to 5.3GHz 16MB,"32GB (32GBx1) DDR4 2933MHz (2x SO-DIMM socket, up to 64GB SDRAM)",1TB PCIe NVMe,NVIDIA® Quadro® T2000 with Max-Q Design + Intel UHD Graphics,"15.6"" FHD (1920 x 1080) IPS eDP and PSR anti-glare, 100% sRGB at 400 nits",Windows 10 Pro,3 Cell 83WHr,1.8 kg,Silver,35.38 x 23.47 x 1.77 cm,"84,990,000₫"
19,"Laptop HP ZBook Studio G7 (8YP51AV) (i7-10750H | 16GB | 512GB | VGA Quadro T1000  4GB | 15.6"" FHD | Win 10 Pro)",Intel Core i7-10750H 2.6GHz up to 5.0GHz 12MB,"16GB (16GBx1) DDR4 2933MHz (2x SO-DIMM socket, up to 32GB SDRAM)",512 GB PCIe NVMe,NVIDIA® Quadro® T1000 with Max-Q Design + Intel UHD Graphics,"15.6"" FHD (1920 x 1080) IPS eDP and PSR anti-glare, 100% sRGB at 400 nits",Windows 10 Pro,3 Cell 83WHr,1.8 kg,Silver,35.38 x 23.47 x 1.77 cm,"61,490,000₫"
20,Laptop ASUS VivoBook A415EA-EB359T (i3-1115G4 | 4GB | 256GB |  Intel UHD Graphics | 14'' FHD | Win 10),Intel Core i3-1115G4 1.7GHz up to 4.1GHz 6MB,4GB DDR4 2666MHz Onboard,256GB SSD M.2 PCIE G3X4 (Còn trống 1 khe SSD M.2 PCIE),Intel UHD Graphics for 11th Gen Intel® Processors,"14"" FHD (1920 x 1080), IPS, Anti-Glare with 45% NTSC, NanoEdge",Windows 10 Home,3 Cells 42WHrs,1.4 kg,Vàng,324 x 215 x 17.9 mm,"12,290,000₫"
21,Laptop HP Envy 13-ba1031TU (2K0B7PA) (i7-1165G7 | 16GB | 1TB | Intel Iris Xe Graphics | 13.3'' FHD | Win 10 | Office),Intel Core i7-1165G7 2.8GHz up to 4.7GHz 12MB,16GB DDR4 2933MHz (Onboard),1TB PCIe® NVMe™ M.2 SSD,Intel Iris Xe Graphics,"13.3"" FHD (1920 x 1080) IPS with 72% NTSC, BrightView Micro-Edge, 300 nits ",Windows 10 Home + Office Home & Student,3 Cell 51WHr,1.31 kg,Pale Gold,30.61 x 21.21 x 1.47 cm,"31,490,000₫"
22,Laptop HP Envy 13-ba1030TU (2K0B6PA) (i7-1165G7 | 8GB | 512GB | Intel Iris Xe Graphics | 13.3'' FHD | Win 10 | Office),Intel Core i7-1165G7 2.8GHz up to 4.7GHz 12MB,8GB DDR4 3200MHz (Onboard),512GB PCIe® NVMe™ M.2 SSD,Intel Iris Xe Graphics,"13.3"" FHD (1920 x 1080) IPS with 72% NTSC, BrightView Micro-Edge, 300 nits ",Windows 10 Home + Office Home & Student,3 Cell 51WHr,1.3 kg,Pale Gold,30.65 x 19.46 x 1.69 cm,"26,490,000₫"
23,Laptop HP Envy 13-ba1027TU (2K0B1PA) (i5-1135G7 | 8GB | 256GB | Intel Iris Xe Graphics | 13.3'' FHD | Win 10 | Office),Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,8GB DDR4 3200MHz (Onboard),256GB PCIe® NVMe™ M.2 SSD,Intel Iris Xe Graphics,"13.3"" FHD (1920 x 1080) IPS with 72% NTSC, BrightView Micro-Edge, 300 nits ",Windows 10 Home + Office Home & Student,3 Cell 51WHr,1.3 kg,Pale Gold,30.65 x 19.46 x 1.69 cm,"21,990,000₫"
24,Laptop HP Envy 13-ba1028TU (2K0B2PA) (i5-1135G7 | 8GB | 512GB | Intel Iris Xe Graphics | 13.3'' FHD | Win 10 | Office),Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,8GB DDR4 2666MHz (Onboard),512GB PCIe® NVMe™ M.2 SSD,Intel Iris Xe Graphics,"13.3"" FHD (1920 x 1080) IPS, edge-to-edge glass, micro-edge, BrightView, 400 nits, 100% sRGB",Windows 10 Home + Office Home & Student,3 Cell 51WHr,1.3 kg,Pale Gold,30.65 x 19.46 x 1.69 cm,"22,990,000₫"
25,Laptop Avita Liber V14 (NS14A8VNW561-UGAB) (R7-3700U | 8GB | 512GB | Radeon Vega 10 Graphics | 14'' FHD | Win 10),AMD Ryzen 7-3700U 2.3GHz up to 4.0GHz 4MB,8GB DDR4 2400MHz,512GB SSD M.2 SATA,AMD Radeon™ Vega 10 Graphics,"14"" FHD (1920 x 1080) Anti-Glare IPS Panel with 178 degree wide viewing angle",Window 10 Home,Up to 10 hours,1.3kg,Unicorn Gold ,318 X 218 X 17.4 mm,"14,490,000₫"
26,"Laptop Lenovo Legion 7 15IMHG05 (81YU007JVN) (i7-10870H | 16GB | 1TB | VGA RTX 2060 6GB | 15.6"" FHD 144Hz | Win 10)",Intel Core i7-10870H 2.2 GHz up to 5.0GHz 16MB,"16GB (2x8GB) DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",1TB SSD PCIE G3X4,NVIDIA GeForce RTX 2060 6GB GDDR6,"15.6"" FHD (1920 x 1080), IPS, Anti-Glare, 144Hz, 100% Adobe RGB, HDR400, Dolby Vision, G-Sync, 500Nits",Windows 10 Home,4 Cell 80WHr,2.25 kg,Slate Grey,359.34 x 259.04 x 19.9 (mm),"54,990,000₫"
27,Laptop MSI Prestige 15 A11SCX-209VN (i7-1185G7 | 16GB | 512GB | VGA GTX 1650 4GB | 15.6'' FHD | Win 10),Intel Core i7-1185G7 3.0GHz up to 4.8GHz 12MB,"16GB (8GB x2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",512GB PCIe Gen4x4 (Còn trống 1 khe SSD M.2 PCIE Gen3x4),NVIDIA GeForce GTX 1650 4GB GDDR6 with Max-Q Design,"15.6"" FHD (1920 x 1080) IPS, 60Hz, Thin Bezel, Anti-Glare with 72% NTSC, 100% sRGB",Windows 10 Home,4 Cell 82WHr,1.69 kg,Carbon Gray,356.8 x 233.7 x 16.9 mm,"32,990,000₫"
28,Laptop MSI Prestige 15 A11SCX-210VN (i7-1185G7 | 32GB | 1TB | VGA GTX 1650 4GB | 15.6'' UHD | Win 10),Intel Core i7-1185G7 3.0GHz up to 4.8GHz 12MB,"32GB (16GB x2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",1TB PCIe Gen4x4 (Còn trống 1 khe SSD M.2 PCIE Gen3x4),NVIDIA GeForce GTX 1650 4GB GDDR6 with Max-Q Design,"15.6"" UHD (3840 x 2160) IPS, 60Hz, Thin Bezel, Anti-Glare with 72% NTSC, 100% sRGB",Windows 10 Home,4 Cell 82WHr,1.69 kg,Carbon Gray,356.8 x 233.7 x 16.9 mm,"45,990,000₫"
29,"Laptop Dell Gaming G3 3500 (G3500B) (i7-10750H | 16GB | 512GB | VGA GTX 1660Ti 6GB | 15.6"" FHD 120Hz | Win 10)",Intel Core i7-10750H 2.6GHz up to 5.0GHz 12MB,"16GB (8GB x2) DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)","512GB SSD M.2 PCIE (trống 1 khe 2.5"" SATA)",NVIDIA GeForce GTX 1660Ti 6GB GDDR6 + Intel UHD Graphics,"15.6"" FHD (1920 x 1080) IPS, 120Hz, Wide View, 250nits, Narrow Bezel, Non-Glare with 45% NTSC, 63% sRGB",Windows 10 Home,3 Cell 56WHr,2.34 kg,Đen,21.6 (H) x 365.5 (W) x 254 (D) (mm),"28,990,000₫"
30,"Laptop Lenovo Legion 5P 15IMH05H (82AW005QVN) (i7-10750H | 16GB | 512GB | VGA GTX 1660Ti 6GB | 15.6"" FHD 144Hz | Win 10)",Intel Core i7-10750H 2.6GHz up to 5.0GHz 12MB,"16GB (8GB x2) DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",512GB SSD M.2 2280 PCIe NVMe (Còn trống 1 khe 2.5 SATA),NVIDIA GeForce GTX 1660Ti 6GB GDDR6 + Intel UHD Graphics,"15.6"" FHD (1920x1080) WVA 300nits Anti-glare, 144Hz, 100% sRGB Gamut, Dolby Vision",Windows 10 Home,4 Cell 80 WHr,2.3 kg,Iron grey,363.06 x 259.61 x 23.57 (mm),"35,990,000₫"
31,"Laptop Lenovo Legion 5P 15IMH05H (82AW005PVN) (i5-10300H | 8GB | 512GB | VGA GTX 1660Ti 6GB | 15.6"" FHD 144Hz | Win 10)",Intel Core i5-10300H 2.5GHz up to 4.5GHz 8MB,"8GB DDR4 2933MHz (2x SO-DIMM socket, up to 32GB SDRAM)",512GB SSD M.2 2280 PCIe NVMe (Còn trống 1 khe 2.5 SATA),NVIDIA GeForce GTX 1660Ti 6GB GDDR6 + Intel UHD Graphics,"15.6"" FHD (1920x1080) WVA 300nits Anti-glare, 144Hz, 100% sRGB Gamut, Dolby Vision",Windows 10 Home,4 Cell 80 WHr,2.3 kg,Iron grey,363.06 x 259.61 x 23.57 (mm),"29,490,000₫"
32,Laptop Lenovo IdeaPad Gaming 3 15IMH05 (81Y4006TVN) (i5-10300H | 8GB | 512GB | VGA GTX 1650 4GB | Win 10),Intel Core i5-10300H 2.5GHz up to 4.5GHz 8MB,"8GB DDR4 2933MHz (2x SO-DIMM socket, up to 16GB SDRAM)","512GB SSD M.2 2242 PCIe NVMe 3.0x4, x1 slot 2.5"" SATA (HDD/SSD)",NVIDIA GeForce GTX 1650 4GB GDDR6 + Intel UHD Graphics,"15.6"" FHD (1920 x 1080) IPS, 250nits, Anti-Glare, 60Hz",Windows 10 Home,3 Cell 45WHr,2.2 kg,Xanh,359 x 249.6 x 24.9 (mm),"19,990,000₫"
33,"Laptop HP ProBook 455 G7 (1A1B1PA) (R7-4700U | 8GB | 512GB | AMD Radeon Graphics | 15.6"" FHD | Win 10)",AMD Ryzen 7-4700U 2.0GHz up to 4.1GHz 8MB,"8GB DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",512GB SSD M.2 PCIE,AMD Radeon Graphics,"15.6"" FHD (1920 x 1080) Diagonal IPS Anti-Glare WLED-Backlit, 45% NTSC, 250nits",Windows 10 Home,3 Cell 45WHr,2 kg,Pike Silver Aluminum,36.49 x 25.69 x 1.89 cm,"21,590,000₫"
34,"Laptop Lenovo Legion 5P 15IMH05 (82AY003EVN) (i5-10300H | 8GB | 512GB | VGA GTX 1650Ti 4GB | 15.6"" FHD 144Hz | Win 10)",Intel Core i5-10300H 2.5GHz up to 4.5GHz 8MB,"8GB DDR4 2933MHz (2x SO-DIMM socket, up to 32GB SDRAM)",512GB SSD M.2 2280 PCIe NVMe (Còn trống 1 khe SSD M.2 PCIE),NVIDIA GeForce GTX 1650Ti 4GB GDDR6 + Intel UHD Graphics,"15.6"" FHD (1920x1080) WVA 300nits Anti-glare, 144Hz, 100% sRGB Gamut, Dolby Vision",Windows 10 Home,4 Cell 80 WHr,2.3 kg,Iron grey,363.06 x 259.61 x 23.57 (mm),"26,990,000₫"
35,"Laptop HP ProBook 455 G7 (1A1A9PA) (R5-4500U | 4GB | 256GB | AMD Radeon Graphics | 15.6"" FHD | Win 10)",AMD Ryzen 5-4500U 2.3GHz up to 4.0GHz 8MB,"4GB DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",256GB SSD M.2 PCIE,AMD Radeon™ Graphics,"15.6"" FHD (1920 x 1080) Diagonal IPS Anti-Glare WLED-Backlit, 45% NTSC, 250nits",Windows 10 Home,3 Cell 45WHr,2 kg,Pike Silver Aluminum,36.49 x 25.69 x 1.89 cm,"16,590,000₫"
36,"Laptop HP ProBook 445 G7 (1A1A6PA) (R5-4500U | 8GB | 512GB | AMD Radeon Graphics | 14"" FHD | Win 10)",AMD Ryzen 5-4500U 2.3GHz up to 4.0GHz 8MB,"8GB DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",512GB SSD M.2 PCIE,AMD Radeon™ Graphics,"14"" FHD (1920 x 1080) Diagonal IPS Anti-Glare WLED-Backlit, 45% NTSC, 250nits",Windows 10 Home,3 Cell 45WHr,1.6 kg,Pike Silver Aluminum,32.42 x 23.77 x 1.79 cm,"17,990,000₫"
37,"Laptop HP ProBook 445 G7 (1A1A4PA) (R3-4300U | 4GB | 256GB | AMD Radeon Graphics | 14"" HD | Win 10)",AMD Ryzen 3-4300U 2.7GHz up to 3.7GHz 4MB,"4GB DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",256GB SSD M.2 PCIE,AMD Radeon™ Graphics,"14"" HD (1366 x 768) Diagonal SVA Anti-Glare WLED-Backlit, 45% NTSC, 220 nits",Windows 10 Home,3 Cell 45WHr,1.6 kg,Pike Silver Aluminum,32.42 x 23.77 x 1.79 cm,"12,990,000₫"
38,"Laptop MSI GF63 Thin 9SCSR-829VN (i5-9300H | 8GB | 512GB | VGA GTX 1650Ti 4GB | 15.6"" FHD 144Hz | Win 10)",Intel Core i5-9300H 2.4GHz up to 4.1GHz 8MB,"8GB DDR4 2666MHz (2x SO-DIMM socket, up to 32GB SDRAM)","512GB SSD M.2 PCIE, x1 slot 2.5"" SATA3",NVIDIA GeForce GTX 1650Ti 4GB GDDR6 with Max-Q Design + Intel UHD Graphics 630,"15.6"" FHD (1920 x 1080) IPS, 144Hz, Thin Bezel",Windows 10 Home,3 Cell 51WHr,1.86 kg,Đen,359 x 254 x 21.7 mm,"19,990,000₫"
39,"Laptop ASUS ROG Strix G15 G512-IAL001T (i7-10750H | 8GB | 512GB | VGA GTX 1650Ti 4GB | 15.6"" FHD 144Hz | Win 10)",Intel Core i7-10750H 2.6GHz up to 5.0GHz 12MB,"8GB DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",512GB SSD PCIE G3X4 (Còn trống 2 khe SSD M.2 PCIE/ SATA3),NVIDIA GeForce GTX 1650Ti 4GB GDDR6 + Intel UHD Graphics,"15.6"" FHD (1920 x 1080) IPS, 144Hz, Wide View, 250nits, Narrow Bezel, Non-Glare with 45% NTSC, 67% sRGB",Windows 10 Home,3 Cell 48WHr,2.3 kg,Black,360 x 275 x 21~25.8 (mm),"25,990,000₫"
40,"Laptop HP Pavilion Gaming 15-ec1054AX (1N1H6PA) (R5-4600H | 8GB | 128GB + 1TB | VGA GTX 1650 4GB | 15.6"" FHD 144Hz | Win 10)",AMD Ryzen 5 4600H 3.0GHz up to 4.0GHz 8MB,"8GB DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",HDD 1TB 7200rpm + 128GB SSD M.2 PCIe,NVIDIA GeForce GTX 1650 4GB GDDR6 + AMD Radeon™ Graphics,"15.6"" FHD (1920 x 1080) 144Hz, IPS, Anti-Glare, Micro-Edge, WLED-backlit, 250nits, 45% NTSC",Windows 10 Home,3 Cell 52.5WHr,1.98 kg,Shadow Black,36 x 25.7 x 2.35 cm,"18,990,000₫"
41,"Laptop HP Pavilion Gaming 15-ec1056AX (1N1J6PA) (R7-4800H | 8GB | 512GB | VGA GTX 1650 4GB | 15.6"" FHD 144Hz | Win 10)",AMD Ryzen 7 4800H 2.9GHz up to 4.2GHz 8MB,"8GB DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",512GB SSD M.2 PCIE,NVIDIA GeForce GTX 1650 4GB GDDR6 + AMD Radeon™ Graphics,"15.6"" FHD (1920 x 1080) 144Hz, IPS, Anti-Glare, Micro-Edge, WLED-backlit, 250nits, 45% NTSC",Windows 10 Home,3 Cell 52.5WHr,1.98 kg,Shadow Black,36 x 25.7 x 2.35 cm,"23,990,000₫"
42,"Laptop Lenovo IdeaPad Gaming 3 15IMH05 (81Y40067VN) (i7-10750H | 8GB | 512GB | VGA GTX 1650 4GB | 15.6"" FHD | Win 10)",Intel Core i7-10750H 2.6GHz up to 5.0GHz 12MB,"8GB DDR4 2933MHz (2x SO-DIMM socket, up to 16GB SDRAM)","512GB SSD M.2 2242 PCIe NVMe 3.0x4, x1 slot 2.5"" SATA (HDD/SSD)",NVIDIA GeForce GTX 1650 4GB GDDR6 + Intel UHD Graphics,"15.6"" FHD (1920 x 1080) IPS, 250nits, Anti-Glare, 60Hz",Windows 10 Home,3 Cell 45WHr,2.2 kg,Đen,359 x 249.6 x 24.9 (mm),"21,990,000₫"
