,Name,CPU,RAM,Ổ cứng,Card đồ họa,Màn hình,Hệ điều hành,Pin,Trọng lượng,Màu sắc,Kích thước,Price
226,Laptop Dell Gaming G7 7500 (G7500A) (i7-10750H | 16GB | 512GB | VGA RTX 2060 6GB | 15.6'' FHD 144Hz | Win 10),Intel Core i7-10750H 2.6GHz up to 5.0GHz 12MB,"16GB (8GB x2) DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",512GB SSD M.2 PCIe (Còn trống 1 khe SSD M.2 NVME),NVIDIA GeForce RTX 2060 6GB GDDR6 + Intel UHD Graphics,"15.6"" FHD (1920 x 1080) WVA, 144Hz, Anti-Glare, 72% NTSC, ~100% sRGB, 300nits",Windows 10 Home,6 Cell 86WHr,2.56 kg,Đen,18.8 (H) x 357.2 (W) x 267.7 (D) (mm),"39,990,000₫"
227,"Laptop Acer Aspire 5 A514-54-51RB (i5-1135G7 | 8GB | 256GB | Intel Iris Xe Graphics | 14"" FHD | Win 10)",Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,"8GB (4GBx2) DDR4 2666MHz  (1x SO-DIMM socket, up to 20GB SDRAM)","256GB SSD M.2 PCIE, 1x slot SATA3 2.5""",Intel Iris Xe Graphics,"14"" FHD (1920 x 1080) IPS, Acer ComfyView LCD",Windows 10 Home,3 Cell 48Whr,1.46 kg,Safari Gold (Vỏ nhôm),328 x 233 x 17.95 (mm),"15,490,000₫"
228,"Laptop ASUS ZenBook UM425IA-AM049T (R5-4500U | 8GB | 512GB | AMD Radeon Graphics | 14"" FHD | Win 10)",AMD Ryzen 5-4500U 2.3GHz up to 4.0GHz 8MB,8GB LPDDR4X 3733MHz (Onboard),512GB SSD M.2 PCIE G3X2,AMD Radeon™ Graphics,"14"" FHD (1920 x 1080) IPS, Anti-Glare, 72% NTSC, 100% sRGB, 250nits",Windows 10 Home,4 Cell 67WHr Lithium-Polymer,1.26kg,Pine Grey,31.9 x 21 x 1.43 (cm),"19,990,000₫"
229,Laptop Dell Gaming G5 5500 (70228123) (i7-10750H | 16GB | 512GB | VGA RTX 2060 6GB | 15.6'' FHD 144Hz | Win 10),Intel Core i7-10750H 2.6GHz up to 5.0GHz 12MB,"16GB (8GB x2) DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",512GB SSD M.2 PCIe,NVIDIA GeForce RTX 2060 6GB GDDR6 + Intel UHD Graphics,"15.6"" FHD (1920 x 1080) WVA, 144Hz, Anti-Glare, 72% NTSC, ~100% sRGB, 300nits",Windows 10 Home,4 Cell 68WHr,2.65 kg,Đen,24.5 (H) x 365.5 (W) x 254 (D) (mm),"32,990,000₫"
230,Laptop Acer Swift 5 SF514-55T-51NZ (i5-1135G7 | 8GB | 512GB | Intel Iris Xe Graphics | 14'' FHD Touch | Win 10),Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,8GB LPDDR4x 4267MHz,512GB PCIe NVMe SSD,Intel Iris Xe Graphics,"14"" FHD (1920 x 1080) IPS NarrowBoarder Touch LCD, Acer CineCrystalTM LED-Backlit TFT LCD, Multi-Touch, 400 Nits, 100% sRGB, 75% Adobe RGB",Windows 10 Home,4 Cell 40WHrs,1050 gram,Safari Gold,318.9 x 206.98 x 14.95 (mm),"25,990,000₫"
231,"Laptop Acer Aspire 5 A514-54-39KU (i3-1115G4 | 4GB | 256GB | Intel UHD Graphics | 14"" FHD | Win 10)",Intel Core i3-1115G4 1.7GHz up to 4.1GHz 6MB,"4GB DDR4 2666MHz Onboard (1x SO-DIMM socket, up to 20GB SDRAM)","256GB SSD M.2 PCIE, 1x slot SATA3 2.5""",Intel UHD Graphics,"14"" FHD (1920 x 1080) IPS, Acer ComfyView LCD",Windows 10 Home,3 Cell 48Whr,1.45 kg,Pure Silver (Vỏ nhôm),328 x 233 x 17.95 (mm),"11,990,000₫"
232,"Laptop MSI Stealth 15M A11SDK-060VN (i7-1185G7 | 16GB | 512GB | VGA GTX 1660Ti 6GB | 15.6"" FHD 144Hz | Win 10)",Intel Core i7-1185G7 3.0GHz up to 4.8GHz 12MB,"16GB (8GBx2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",512GB SSD PCIE G3X4,NVIDIA GeForce GTX 1660Ti 6GB GDDR6,"15.6"" FHD (1920*1080), IPS-Level 144Hz 45%NTSC Thin Bezel",Windows 10 Home,3Cell 52WHr,1.69 kg,PureWhite,358 x 248 x 15.95 (mm),"33,990,000₫"
233,"Laptop MSI Stealth 15M A11SDK-061VN (i7-1185G7 | 16GB | 512GB | VGA GTX 1660Ti 6GB | 15.6"" FHD 144Hz | Win 10)",Intel Core i7-1185G7 3.0GHz up to 4.8GHz 12MB,"16GB (8GBx2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",512GB SSD PCIE G3X4,NVIDIA GeForce GTX 1660Ti 6GB GDDR6,"15.6"" FHD (1920*1080), IPS-Level 144Hz 45%NTSC Thin Bezel",Windows 10 Home,3Cell 52WHr,1.69 kg,Đen,358 x 248 x 15.95 (mm),"33,990,000₫"
234,"Laptop Acer Predator Helios 300 PH315-53-770L (i7-10750H | 8GB | 512GB | VGA GTX 1660Ti 6GB | 15.6"" FHD 144Hz | Win 10)",Intel Core i7-10750H 2.6GHz up to 5.0GHz 12MB,"8GB DDR4 2933MHz (2x SO-DIMM socket, up to 32GB SDRAM)","512GB SSD M.2 PCIE G3X4 (Support RAID 0) (Còn trống 1 khe SSD M.2 PCIE và 1 khe 2.5"" SATA)",NVIDIA GeForce GTX 1660Ti 6GB GDDR6,"15.6"" FHD (1920 x 1080) IPS, Anti-Glare with 72% NTSC, 100% sRGB, 144Hz, 3ms, 300nits",Windows 10 Home,4 Cell 59 WHrs,2.2 kg,Abyssal Black,363.4 x 255 x 22.9 (mm),"32,990,000₫"
235,"Laptop Dell Gaming G5 5500 (70225485) (i7-10750H | 8GB | 512GB | VGA GTX 1660Ti 6GB | 15.6"" FHD 120Hz | Win 10)",Intel Core i7-10750H 2.6GHz up to 5.0GHz 12MB,"8GB (4GB x2) DDR4 2933MHz (2x SO-DIMM socket, up to 32GB SDRAM)",512GB SSD M.2 PCIe,NVIDIA GeForce GTX 1660Ti 6GB GDDR6 + Intel UHD Graphics,"15.6"" FHD (1920 x 1080) WVA, 120Hz, Anti-Glare, 45% NTSC, ~63% sRGB, 250nits",Windows 10 Home,4 Cell 68WHr,2.65 kg,Đen,24.5 (H) x 365.5 (W) x 254 (D) (mm),"28,990,000₫"
