,Name,CPU,RAM,Ổ cứng,Màn hình,Card màn hình,Cổng kết nối,Hệ điều hành,Thiết kế,Kích thước,Thời điểm ra mắt,Price
150,Laptop HP ZBook FireFly 14 G7 i5 10210U/8GB/256GB/4GB QuadroP520/Win10 Pro (8VK70AV),"Intel Core i5 Comet Lake, 10210U, 1.60 GHz","8 GB, DDR4 (On board), 2666 MHz",SSD 256GB NVMe PCIe,"14 inch, Full HD (1920 x 1080)",NVIDIA Quadro P520 4GB,"2 x USB 3.1, HDMI, 2 x Thunderbolt 3 (USB-C)",Windows 10 Pro,"Vỏ kim loại, PIN liền","Dày 17.9 mm, 1.41 kg",2020,31.590.000₫
151,Laptop Dell XPS 13 9310 i7 1165G7/16GB/512GB/Touch/Pen/Win10 (JGNH61),"Intel Core i7 Tiger Lake, 1165G7, 2.80 GHz","16 GB, LPDDR4X (On board), 4267 MHz",SSD 512 GB M.2 PCIe,"13.4 inch, 4K/UHD (3840 x 2400)",Intel® Iris® Xe Graphics,2 x Thunderbolt™ 4 USB-C,Windows 10 Home SL,"Vỏ kim loại nguyên khối, PIN liền","Dày 14.35 mm, 1.32 kg",2020,58.990.000₫
152,Laptop Acer Aspire E5 576G 88EP i7 8550U/4GB+16GB/1TB/2GB MX130/Win10 (NX.H2ESV.001),"Intel Core i7 Coffee Lake, 8550U, 1.80 GHz","4 GB, DDR3L (2 khe RAM), 2133 MHz","HDD: 1 TB, Intel Optane 16GB","15.6 inch, Full HD (1920 x 1080)",NVIDIA Geforce MX130 2GB,"2 x USB 3.0, HDMI, LAN (RJ45), USB 2.0, USB Type-C, VGA (D-Sub)",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 30.4 mm, 2.23 kg",2018,16.990.000₫
153,Laptop Acer Spin SP513 52N 556V i5 8250U/8GB/256GB/Touch/Win10 (NX.GR7SV.004),"Intel Core i5 Coffee Lake, 8250U, 1.60 GHz","8 GB, DDR4 (On board), 2400 MHz",SSD 256GB NVMe PCIe,"13.3 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 620,"2 x USB 3.0, HDMI, USB 2.0, USB Type-C",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Dày 15.9 mm, 1.56 kg",2018,21.190.000₫
154,Laptop Acer Aspire A514 51 37ZD i3 8145U/4GB/500GB/Win10 (NX.H6USV.003),"Intel Core i3 Coffee Lake, 8145U, 2.10 GHz","4 GB, DDR4 (On board +1 khe), 2666 MHz","HDD: 500 GB SATA3, Hỗ trợ khe cắm SSD M.2 PCIe","14 inch, HD 720 (1280 x 720)",Intel® UHD Graphics 620,"2 x USB 3.0, HDMI, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 14.9 mm, 1.9 kg",2018,11.590.000₫
155,Laptop HP Pavilion 15 cs2056TX i5 8265U/4GB/1TB/2GB MX130/Win10 (6YZ11PA),"Intel Core i5 Coffee Lake, 8265U, 1.60 GHz","4 GB, DDR4 (2 khe), 2666 MHz","HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 SATA3","15.6 inch, Full HD (1920 x 1080)",NVIDIA Geforce MX130 2GB,"2 x USB 3.1, HDMI, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 17.9 mm, 1.82 kg",2019,16.190.000₫
156,Laptop Lenovo ThinkBook 14IML i7 10510U/8GB/512GB/Win10 (20RV00BJVN),"Intel Core i7 Comet Lake, 10510U, 1.80 GHz","8 GB, DDR4 (On board +1 khe), 2666 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","14 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 3.1, HDMI, LAN (RJ45), USB 2.0, 2 x USB Type-C",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Rộng 17.9 mm, 1.5 kg",2020,21.490.000₫
157,Laptop Acer Nitro AN515 55 70AX i7 10750H/8GB/512GB/4GB GTX1650Ti/Win10 (NH.Q7NSV.001),"Intel Core i7 Comet Lake, 10750H, 2.60 GHz","8 GB, DDR4 (2 khe), 2933 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm SSD M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",NVIDIA GeForce GTX 1650Ti 4GB,3 x USB 3.2,Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 23.9 mm, 2.3 kg",2020,28.790.000₫
158,Laptop Dell G5 15 5500 i7 10750H/8GB/512GB/120Hz/6GB GTX1660Ti/Win10 (70225485),"Intel Core i7 Comet Lake, 10750H, 2.60 GHz","8 GB, DDR4 (2 khe), 2933 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm SSD M.2 PCIe","15.6 inch, Full HD (1920 x 1080), 120Hz",NVIDIA GeForce GTX 1660Ti 6GB,"1 x USB 3.2, Thunderbolt 3, 2 x USB 2.0, HDMI, Mini DisplayPort, LAN (RJ45)",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 31.13 mm, 2.65 kg",2020,30.790.000₫
159,Laptop Lenovo Ideapad 530S 14IKB i7 8550U/8GB/256GB/Win10 (81EU00P5VN),"Intel Core i7 Coffee Lake, 8550U, 1.80 GHz","8 GB, DDR4 (1 khe), 2666 MHz",SSD: 256 GB M.2 SATA3,"14 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 620,"HDMI 1.4, 2 x USB 3.0, Micro SD",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 18 mm, 1.54 kg",2019,20.490.000₫
160,Laptop Dell XPS 13 9310 i5 1135G7/8GB/256GB/Touch/Win10 (70231343),"Intel Core i5 Tiger Lake, 1135G7, 2.40 GHz","8 GB, LPDDR4 (On board), 4267 MHz",SSD 256GB NVMe PCIe,"13.4 inch, Full HD+ (1920 x 1200)",Intel® Iris® Xe Graphics,2 x Thunderbolt™ 4 USB-C,Windows 10 Home SL,"Vỏ kim loại nguyên khối, PIN liền","Dày 14.35 mm, 1.32 kg",2020,41.490.000₫
161,Laptop Lenovo Ideapad C340 14IWL i3 8145U/8GB/256GB/Touch/Win10 (81N4003SVN),"Intel Core i3 Coffee Lake, 8145U, 2.10 GHz","8 GB, DDR4 (On board 4GB +1 khe 4GB), 2133 MHz",SSD 256GB NVMe PCIe,"14 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 620,"2 x USB 3.1, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 17.9 mm, 1.6 kg",2019,15.290.000₫
162,Laptop HP Pavilion 15 cs2031TU i3 8145U/4GB/1TBWin10 (6YZ03PA),"Intel Core i3 Coffee Lake, 8145U, 2.10 GHz","4 GB, DDR4 (2 khe), 2666 MHz","HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 SATA3","15.6 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 620,"2 x USB 3.1, HDMI, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 17.9 mm, 1.75 kg",2019,13.090.000₫
163,Laptop Dell Inspiron 7306 i5 1135G7/8GB/512GB/Touch/Pen/Win10 (N3I5202W),"Intel Core i5 Tiger Lake, 1135G7, 2.40 GHz","8 GB, LPDDR4X (On board), 4267 MHz",SSD 512 GB M.2 PCIe,"13.3 inch, Full HD (1920 x 1080)",Intel® Iris® Xe Graphics,"1 x USB 3.2, Thunderbolt™ 4 USB-C, HDMI",Windows 10 Home SL,"Vỏ kim loại nguyên khối, PIN liền","Dày 16.74 mm, 1.37 kg",2020,27.390.000₫
